ID,NAME,CATEID,SUPPLIERID,UPRICE,QTY,UNIT
P001,ASUS ZenBook UX305,C001,1005,33900,400,台
P002,ASUS Transformer Book T300,C001,1001,20900,"-2,000",台
P003,ACER ES1-331,C001,1004,10900,-500,台
P004,ACER TravelMate TMP645,C001,1005,32900,300,台
P005,ASUS VS197DE LCD,C002,1005,2588,50,個
P006,ViewSonic VA2265SH LCD,C002,1004,3990,0,個
P007,ACER K192HQL LCD,C002,1001,2588,-12,個
P008,ASUS充電器-UX305,C003,1003,1088,10,條
P009,ASUS電池-U37,C003,1003,3288,15,顆
P010,記憶體,C004,1001,1290,288,條
P011,內接硬碟,C004,1005,2899,"-8,000",顆
P012,卡巴斯基,C004,1002,1990,400,PC
P013,PC-Cillin,C004,1002,745,-130,PC
